"ID","NAME","PREFIXES AS URL","INDEGREE","TOTAL KNOWN PAGES","CRAWLED PAGES","STATUS","LAST MODIFICATION DATE"
"397","laboratoire-paragraphe.Univ-Paris8.fr /.../Mediations-Pratiques-informationnelles-Patrimoine","http://laboratoire-paragraphe.univ-paris8.fr/bienvenue/axes-de-recherche-2020-2025/Mediations-Pratiques-informationnelles-Patrimoine http://www.laboratoire-paragraphe.univ-paris8.fr/bienvenue/axes-de-recherche-2020-2025/Mediations-Pratiques-informationnelles-Patrimoine https://laboratoire-paragraphe.univ-paris8.fr/bienvenue/axes-de-recherche-2020-2025/Mediations-Pratiques-informationnelles-Patrimoine https://www.laboratoire-paragraphe.univ-paris8.fr/bienvenue/axes-de-recherche-2020-2025/Mediations-Pratiques-informationnelles-Patrimoine","0","0","0","IN","2023-01-25T13:30:05.141Z"
"398","laboratoire-paragraphe.Univ-Paris8.fr /.../colloque-international-existences-collectives-20-et-21-octobre","http://laboratoire-paragraphe.univ-paris8.fr/bienvenue/breve/colloque-international-existences-collectives-20-et-21-octobre http://www.laboratoire-paragraphe.univ-paris8.fr/bienvenue/breve/colloque-international-existences-collectives-20-et-21-octobre https://laboratoire-paragraphe.univ-paris8.fr/bienvenue/breve/colloque-international-existences-collectives-20-et-21-octobre https://www.laboratoire-paragraphe.univ-paris8.fr/bienvenue/breve/colloque-international-existences-collectives-20-et-21-octobre","0","0","0","IN","2023-01-25T13:30:05.223Z"
"399","laboratoire-paragraphe.Univ-Paris8.fr /.../chaire-unesco","http://laboratoire-paragraphe.univ-paris8.fr/bienvenue/ecosysteme-recherche/article/chaire-unesco http://www.laboratoire-paragraphe.univ-paris8.fr/bienvenue/ecosysteme-recherche/article/chaire-unesco https://laboratoire-paragraphe.univ-paris8.fr/bienvenue/ecosysteme-recherche/article/chaire-unesco https://www.laboratoire-paragraphe.univ-paris8.fr/bienvenue/ecosysteme-recherche/article/chaire-unesco","0","0","0","IN","2023-01-25T13:30:05.243Z"
"400","Culture.gouv.fr","http://culture.gouv.fr http://www.culture.gouv.fr https://culture.gouv.fr https://www.culture.gouv.fr","11","126862","15268","IN","2023-01-25T14:01:53.956Z"
"401","Culture.gouv.fr /.../Les-musees-de-France","http://culture.gouv.fr/Thematiques/Musees/Les-musees-en-France/Les-musees-de-France http://www.culture.gouv.fr/Thematiques/Musees/Les-musees-en-France/Les-musees-de-France https://culture.gouv.fr/Thematiques/Musees/Les-musees-en-France/Les-musees-de-France https://www.culture.gouv.fr/Thematiques/Musees/Les-musees-en-France/Les-musees-de-France","1","52","8","IN","2023-01-25T14:01:53.946Z"
"403","iri.Centrepompidou.fr","http://iri.centrepompidou.fr http://www.iri.centrepompidou.fr https://iri.centrepompidou.fr https://www.iri.centrepompidou.fr","1","5377","3712","IN","2023-01-25T14:01:54.091Z"
"404","Bnf.fr /fr","http://bnf.fr/fr http://www.bnf.fr/fr https://bnf.fr/fr https://www.bnf.fr/fr","5","6793","1792","IN","2023-01-25T14:01:54.108Z"
"402","Francearchives.gouv.fr /.../34638","http://francearchives.gouv.fr/service/34638 http://www.francearchives.gouv.fr/service/34638 https://francearchives.gouv.fr/service/34638 https://www.francearchives.gouv.fr/service/34638","0","3","1","IN","2023-01-25T14:01:54.067Z"
"405","Ina.fr","http://ina.fr http://www.ina.fr https://ina.fr https://www.ina.fr","3","34408","7420","IN","2023-01-25T14:01:54.206Z"
"406","Inha.fr /.../index.html","http://inha.fr/fr/index.html http://www.inha.fr/fr/index.html https://inha.fr/fr/index.html https://www.inha.fr/fr/index.html","2","4","1","IN","2023-01-25T14:01:54.240Z"
"407","Monuments-Nationaux.fr","http://monuments-nationaux.fr http://www.monuments-nationaux.fr https://monuments-nationaux.fr https://www.monuments-nationaux.fr","3","15266","2440","IN","2023-01-25T14:01:54.276Z"
"408","Mshparisnord.fr","http://mshparisnord.fr http://www.mshparisnord.fr https://mshparisnord.fr https://www.mshparisnord.fr","2","11809","1360","IN","2023-01-25T14:01:54.386Z"
"409","Rmngp.fr","http://rmngp.fr http://www.rmngp.fr https://rmngp.fr https://www.rmngp.fr","2","129","53","IN","2023-01-25T14:01:54.406Z"
